RESG_DIA,CAPTC_DIA,NR_COTST,VL_PATRIM_LIQ,VL_QUOTA,VL_TOTAL,SUGESTÃO
4310839.38,4473533.14,39771,4206421681.39,19.983855,4212756888.82,1
6645959.57,2857567.17,39757,4207848752.97,20.008633,4210707948.89,1
6341493.48,2397483.07,39717,4204666119.06,20.012253,4213337336.8,1
5896954.54,2025903.17,39674,4198467897.02,20.001177,4199313600.64,1
5932233.58,5050864.63,39651,4201997729.36,20.022192,4210552052.78,1
8134616.57,3172552.22,39618,4191338055.87,19.995043,4196803711.53,1
8991828.44,2861534.9,39586,4189778461.92,20.016848,4196253238.55,1
8336986.93,2337168.49,39543,4191800608.13,20.055173,4197405877.73,1
617579.05,1703196.93,22578,1124332997.48,230.1600344,1126878137.3,1
1174694.84,1758408.35,22627,1126158285.4,230.4141947,1128926330.73,1
400073.85,3197820.77,22673,1132898017.16,231.2207325,1136468629.18,1
757829.7,1989324.4,22727,1134222708.33,231.2397536,1135609448.55,1
4782857.39,2430097.57,22775,1134993345.44,231.8765365,1136951432.55,1
621828.26,2688426.82,22827,1136791920.62,231.8217799,1138654886.79,1
1147067.71,2676233.27,22898,1138042679.77,231.7650055,1139804832.92,1
415337.93,3582538.87,22962,1146313269.42,232.8043223,1149155536.04,1
599190.21,2586998.13,23025,1150281894.25,233.2066057,1153524398.6,1
305962.6,2889538.28,23106,1150353966.94,232.6974269,1152994086.37,1
792576.98,1710922.06,23156,1152068692.52,232.8585214,1154841459.2,1
867570.65,4848569.76,23222,1156009688.27,232.8504359,1158731895.44,1
934467.03,5229817.46,23322,1160725094.3,232.935046,1163498380.03,1
801811.25,3391613.14,23399,1163214880.38,232.9149748,1165926158.54,1
536051.91,18074568.62,23466,1181712338.15,233.1069872,1184592754.69,1
1412132.66,4444165.13,23564,1186581728.86,233.4694282,1189820067.29,1
1684594.7,2585806.59,23618,1188860725.36,233.7405184,1192359284.88,1
1354025.86,3467101.04,23688,1193243373.08,234.1867364,1197206636.64,1
913392.82,3885721.37,23758,1195914335.13,234.12759,1199763816.75,1
1867036.08,3961735.65,23829,1198443223.13,234.2125923,1202341583.71,1
372455.33,13363298.77,23897,1213233845.05,234.5643243,1217496977.31,1
1013404.62,36268.45,20108,232987901.8,2.24127181,220539286.1,1
0.0,0.0,20108,232183057.8,2.23352946,217590319.38,1
270203.92,229792.48,20105,232687351.47,2.23876935,215255369.97,1
0.0,86539.57,20110,231908786.89,2.23044587,211621081.02,1
285149.18,1145173.35,20080,234924609.1,2.25117985,218125708.72,1
525545.7,47103.38,20030,234429714.21,2.25102219,228437980.85,0
1413395.3,202470.94,20008,234100611.49,2.25948955,223773038.37,0
0.0,123668.83,20014,237274650.19,2.28893107,232085795.26,1
0.0,119616.51,20017,237755990.8,2.29242053,233318521.39,1
498470.52,85480.43,19992,237040303.3,2.28950195,224087720.59,0
1136931.96,184740.64,19918,235314735.3,2.28203214,222098988.66,0
256209.84,111001.22,19906,238098622.52,2.31043789,223878668.34,0
0.0,58576.93,19915,238536252.8,2.31411611,224323889.16,1
0.0,154631.47,19927,237212038.08,2.29976935,228576238.96,1
207720.32,163001.01,19907,237252559.56,2.30059576,228538837.17,0
1025774.81,239329.28,19848,235160945.53,2.28793977,228778246.28,0
132258.14,314851.94,19842,235989971.34,2.29422907,226465624.11,0
0.0,26294.93,19846,237279254.21,2.30650749,225727720.36,1
0.0,145777.94,19854,234263357.38,2.27577397,224231023.71,1
659372.71,73427.54,19829,235586797.85,2.29432288,223711735.86,0
674170.01,57603.25,19765,235749224.94,2.30190931,223634077.28,0
1986507.15,197901.0,17109,1748649013.02,18.832254,1742598404.61,1
2126970.76,16058.79,17095,1746819137.04,18.835281,1740675586.74,1
3559140.08,50500.0,17081,1744464412.36,18.847723,1738285033.58,1
787441.69,57750.0,17072,1744205625.49,18.852811,1738014198.14,1
1540168.27,92000.0,17062,1747427717.85,18.903291,1741187579.81,1
2095490.59,80311.97,17041,1746444269.23,18.914452,1740190606.23,1
1627726.46,175300.0,17027,1745978701.11,18.92514,1739714761.0,1
2116738.26,262800.0,17007,1746682834.17,18.952867,1740408128.74,1
1663856.93,135600.0,16998,1748337895.31,18.987409,1742053743.24,1
1547082.45,303826.1,16980,1746256408.68,18.978305,1739965809.39,1
2603507.86,248662.64,16959,1743946745.03,18.978796,1737636287.38,1
1459530.75,101961.0,16943,1745189634.71,19.007096,1738872040.06,1
287706.55,47948.2,16939,1744010894.47,18.99687,1737689552.76,1
1389528.55,341000.0,16926,1741749238.4,18.983656,1735415710.72,1
2280427.62,39273.73,16916,1741469156.64,19.00503,1735114090.21,1
1841015.8,146207.45,16905,1739519003.46,19.002243,1733147041.8,1
1512201.93,51550.0,16883,1738406951.78,19.006051,1732016232.39,1
4471426.65,22001.0,16870,1735193561.87,19.019565,1728760564.57,1
2634287.2,96500.0,16863,1731081327.31,19.002307,1724621413.63,1
643065.82,41760.0,16853,1733097269.48,19.031037,1726630958.05,1
1360045.72,49588.5,16844,1734506424.37,19.060901,1734425792.39,1
5819233.66,2465834.47,62976,2160816849.49,2.12584569,2073193815.9,1
0.0,2384349.1,63083,2149997950.98,2.11285612,2113372707.36,1
4099654.5,1912214.66,62998,2144121571.71,2.10923091,2106730837.19,1
2374291.77,2050784.66,62991,2122121630.85,2.08790721,2142933248.9,1
5210580.46,1340915.55,62899,2143808656.01,2.11305186,2144345807.58,1
4383270.6,1127551.23,62822,2133528085.96,2.10612779,2149064549.76,1
0.0,2271661.56,62941,2132972337.62,2.10333669,2217655587.25,1
3351263.03,2430958.49,62817,2141823234.23,2.11297213,2151108737.86,1
3934700.12,1113614.84,62728,2146456536.79,2.12032611,2155102791.48,1
4033522.38,1459749.69,62631,2131136482.64,2.107735,2147917298.94,1
8476104.59,1602698.67,62376,2128633594.54,2.11205752,2143901632.81,0
0.0,1889999.92,62459,2135970244.5,2.11746176,2143536804.82,0
2516797.3,1068062.01,62427,2134403423.84,2.1173447,2145046526.16,1
3751972.1,1126691.87,62365,2124506311.11,2.11013098,2136617717.95,1
6183243.19,1270247.89,62330,2137506341.61,2.1279228,2144185243.84,0
5036906.54,1470326.7,62231,2143735107.27,2.13767423,2151552701.72,0
0.0,1400177.09,62307,2147006390.9,2.13954004,2193584653.86,0
2500707.6,1127644.77,62267,2154985307.28,2.1488595,2157188547.88,1
2845903.24,1462708.12,62216,2138369954.07,2.13367064,2151386308.04,1
2113520.2,1834702.32,62201,2142403932.75,2.13797396,2151389214.26,0
5372896.03,2034484.5,62090,2152754245.3,2.15163438,2163268267.31,0
0.0,5000.0,46903,95271890.52,1.3855442,95347473.96,1
1161110.58,1188889.38,27516,481596620.17,1.67542351,481946228.5,1
0.0,367594.9,27554,482205529.02,1.67626301,482775190.0,1
0.0,564410.45,27581,483020565.04,1.67713425,483405668.43,1
413617.81,256868.61,27550,483163925.62,1.67817628,483425079.07,1
619332.96,134026.88,27528,482951104.07,1.6791227,483143929.66,1
2567483.39,200637.76,27426,480752569.01,1.67970789,480792922.85,1
0.0,79023.64,27468,481152401.52,1.68082876,481338197.68,1
0.0,207338.21,27509,481768585.64,1.682257,482274786.44,1
520020.86,476464.67,27479,482037691.69,1.68334877,482304482.51,1
1273116.0,238237.73,27456,481310874.83,1.68442456,481575908.15,1
1062205.62,250582.78,27350,480786578.98,1.68543011,481263006.51,1
0.0,460340.14,27403,481554443.77,1.68650816,481681562.72,1
0.0,83362.93,27438,481919142.03,1.68749346,482177279.64,1
636564.73,191091.98,27400,481788520.69,1.68859594,482202383.56,1
858860.24,365345.7,27374,481572339.86,1.68956796,482188114.2,1
4093837.81,573937.31,27292,478365471.81,1.69066621,478688223.62,1
0.0,310724.76,27340,479003857.18,1.69182425,479288322.24,1
0.0,252187.07,27377,479540362.59,1.69282845,479955132.27,1
745872.27,312847.35,27340,479447947.12,1.69403084,479618721.94,1
945173.76,72655.87,27311,478901902.45,1.69518437,479159821.17,1
3992077.26,166491.42,27215,475394868.3,1.69631195,475692223.39,1
2389868.2,1301207.23,27311,2345623898.92,17.679648,2344855734.2,1
4141396.91,1206936.56,27292,2341363006.86,17.66965,2340537366.8,1
1161817.01,786994.91,27287,2335951099.55,17.631637,2335112599.16,1
2522597.15,970551.75,27264,2333102598.33,17.621851,2332237460.93,1
0.0,876608.46,27275,2334558465.05,17.626226,2333693036.75,1
1393346.53,544728.9,27259,2338428070.78,17.66185,2337548577.68,1
1582780.49,416139.67,27244,2338687163.42,17.672618,2337791628.71,1
1649896.28,641403.52,27231,2350400666.08,17.768753,2349491941.69,1
2574459.92,446446.0,27216,2363088080.91,17.880756,2362111688.02,1
2122603.04,345608.13,27205,2348572074.62,17.784364,2347580994.2,1
1908557.71,1645247.1,27200,2354955256.29,17.834694,2353957804.06,1
1866319.34,642365.0,27190,2356097106.38,17.852611,2355084926.06,1
2713570.86,364778.52,27172,2354798550.23,17.860569,2353772314.39,1
1751062.82,481688.6,27157,2353657481.05,17.861542,2352624936.98,1
1915091.57,624677.69,27147,2358861250.41,17.910825,2357820437.79,0
879327.05,370922.85,27139,2358652007.03,17.913097,2357603916.18,0
2034013.26,1080717.57,27116,2358626647.51,17.920144,2357569169.92,0
2909633.06,379000.0,27103,2357288058.05,17.929201,2356217531.1,1
5369108.84,321511.82,27095,2340243074.3,17.837951,2339134461.94,1
1365001.71,927262.09,27089,2341413700.32,17.85021,2340297145.14,0
2073919.62,336415.88,27073,2341476447.52,17.863935,2342763388.68,1
283283.08,103319.6,20914,65604150.67,1.6535954,65849282.05,1
0.0,91173.37,20923,65737711.51,1.65466381,65917261.8,1
161701.76,203155.84,20873,65774920.87,1.65455696,65784062.39,1
176933.24,160470.63,20840,65811397.21,1.65588863,65948574.37,1
282115.86,42660.84,20807,65657059.5,1.65803028,65895678.93,1
87262.16,67040.61,20770,65646777.39,1.65828128,65729073.48,1
0.0,69607.69,20776,65764285.78,1.65949128,65835636.31,1
194851.14,33986.4,20737,65680803.66,1.66144395,65760916.63,1
157186.28,59747.31,20717,65643779.91,1.6629722,65882248.71,1
317799.9,113088.97,20698,65503882.53,1.66461414,65851602.96,1
243985.16,47445.22,20649,65321846.37,1.66498271,65647533.16,1
0.0,100235.94,20658,65498342.09,1.66692649,65747394.62,1
153916.62,22488.41,20613,65413653.59,1.66811601,65373808.2,1
82296.44,56577.13,20575,65499623.39,1.6709642,65393239.72,1
47631.09,71344.19,20557,65562091.7,1.67195289,65700590.65,1
275990.22,165847.39,20504,65508734.77,1.67340103,65842092.18,1
0.0,44216.48,20513,65620690.24,1.6751314,65907585.05,1
155732.57,99757.54,20474,65634314.8,1.67690811,65602121.19,1
175366.02,40632.47,20447,65547613.59,1.6781353,65761956.54,1
78157.29,58122.75,20427,65591952.38,1.67978337,65624887.04,1
395090.14,98617.92,20391,65341088.25,1.68095137,65579921.22,1
2923437.78,923675.72,27958,3097076072.42,17.393579,3101071209.53,1
3343548.46,732707.61,27931,3095110973.49,17.397205,3099291526.18,1
1875015.52,486223.07,27909,3092061962.45,17.387873,3096415487.18,1
2385710.04,741700.0,27879,3081479237.1,17.337608,3082099169.31,1
1568196.68,864271.0,27863,3089767940.51,17.388204,3090597520.82,1
3427272.52,730583.47,27845,3084476929.24,17.373604,3085501656.3,1
1468469.0,767775.44,27828,3083843092.01,17.37398,3085052052.97,1
1567263.82,4017667.95,27815,3095065979.49,17.423403,3096460199.48,1
1894852.92,7667946.51,27800,3108012548.63,17.463786,3109600779.16,1
1223887.89,275457.33,27786,3096722831.09,17.405678,3098494202.33,1
1382769.61,153708.01,27762,3097714502.53,17.41816,3099660688.54,0
2924996.61,133468.58,27738,3100710033.96,17.450701,3102849088.1,0
3522998.52,482226.96,27718,3101421227.84,17.471816,3103753876.25,1
1664749.57,95000.9,27706,3091693869.41,17.425861,3094205052.24,1
10509723.92,5191834.27,27699,3092562018.82,17.460727,3095251174.97,0
1153070.92,111080.38,27672,3094669188.89,17.478508,3097548283.57,0
1761817.41,214263.0,27648,3089834361.47,17.459941,3092895700.55,0
1831840.65,182435.0,27629,3091466139.2,17.478483,3094710675.7,1
2409836.71,210894.8,27611,3081900810.45,17.436835,3085328812.83,1
1582154.04,302127.0,27594,3085813880.52,17.466216,3089427564.35,0
1700641.68,57591.5,27577,3092804929.21,17.515002,3096596429.32,0
0.0,0.0,22611,2744416880.94,135.1528744,2767434305.83,1
0.0,0.0,22644,2735436185.5,134.7106067,2758582315.44,1
0.0,0.0,22653,2729276089.77,134.4072437,2752545582.59,1
0.0,0.0,22677,2724956976.79,134.1945426,2728045277.44,1
0.0,0.0,22695,2741965029.58,135.0321293,2742618318.74,1
0.0,0.0,22740,2732629930.95,134.5724086,2733404906.75,1
0.0,0.0,22753,2736832629.2,134.7793767,2697730295.55,1
0.0,0.0,22771,2739583740.87,134.9148592,2740603817.13,1
0.0,0.0,22828,2735053086.89,134.6917405,2736213475.42,1
0.0,0.0,22852,2729999198.54,134.4428542,2731281552.08,1
0.0,0.0,22913,2732984978.55,134.5898934,2734391255.16,1
0.0,0.0,22940,2744122305.33,135.1383676,2745651322.29,1
0.0,0.0,22973,2742608446.08,135.0638153,2744264190.11,1
0.0,0.0,23005,2741018634.28,134.9855227,2742798384.88,1
0.0,0.0,23033,2751478811.98,135.5006496,2753377569.15,1
0.0,0.0,23051,2754849210.97,135.6666299,2756878000.11,1
0.0,0.0,23060,2763757322.39,136.1053231,2765894295.34,1
0.0,0.0,23095,2769458482.6,136.3860851,2771710231.31,1
